SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
§ 1.8   ,"Nature, authority and use of trade regulation rules.","(b) The Commission at any time may conduct such investigations, make such studies and hold such conferences as it may deem necessary.",permissions,it may deem
§ 1.11   ,Commencement of a rulemaking proceeding.,A trade regulation rule proceeding shall commence with an initial notice of proposed rulemaking.,obligations,proceeding shall commence
§ 1.11   ,Commencement of a rulemaking proceeding.,The initial notice shall include: (1) The text of the proposed rule including any alternatives which the Commission proposes to promulgate; (2) Reference to the legal authority under which the rule is proposed; (3) A statement describing with particularity the reason for the proposed rule; (4) An invitation to all interested persons to propose issues which meet the criteria of § 1.13(d)(1)(i) for consideration in accordance with § 1.13 (d)(5) and (d)(6); (5) An invitation to all interested persons to comment on the proposed rule; and (6) A statement of the manner in which the public may obtain copies of the preliminary regulatory analysis.,permissions,public may obtain
§ 1.11   ,Commencement of a rulemaking proceeding.,"Except as otherwise provided by statute, the Commission shall, when commencing a rulemaking proceeding, issue a preliminary regulatory analysis which shall contain: (1) A concise statement of the need for, and the objectives of, the proposed rule; (2) A description of any reasonable alternatives to the proposed rule which may accomplish the stated objective of the rule in a manner consistent with applicable law; (3) For the proposed rule, and for each of the alternatives described in the analysis, a preliminary analysis of the projected benefits and any adverse economic effects and any other effects, and of the effectiveness of the proposed rule and each alternative in meeting the stated objectives of the proposed rule; and (4) The information required by the Regulatory Flexibility Act, 5 U.S.C. 601-612, and the Paperwork Reduction Act, 44 U.S.C. 3501-3520, if applicable.",permissions,which may accomplish
§ 1.12   ,Final notice.,"The final notice shall include: (a) Designated issues, unless there are none, which are to be considered in accordance with § 1.13 (d)(5) and (d)(6); (b) The time and place of an informal hearing; (c) Instructions to interested persons seeking to make oral presentations; (d) A requirement that interested persons who desire to avail themselves of the procedures of § 1.13 (d)(5) and (d)(6) with respect to any issue designated in paragraph (a) of this section must identify their interests with respect to those issues in such manner as may be established by the presiding officer; and (e) an incorporation by reference of the contents of the initial notice.",obligations,section must identify
§ 1.13   ,Rulemaking proceeding.,The initial notice shall specify the deadline for filing written comments under this subsection.,obligations,notice shall specify
§ 1.13   ,Rulemaking proceeding.,Interested persons may propose issues for consideration in accordance with § 1.13 (d)(5) and (d)(6) until thirty (30) days after the close of the written comment period or such other period as the Commission may establish in the initial notice.,permissions,persons may propose
§ 1.13   ,Rulemaking proceeding.,"He shall have all powers necessary to that end including the following: (i) To publish a final notice in accordance with § 1.12 or issue any other public notice that may be necessary for the orderly conduct of the rulemaking proceeding; (ii) To designate or modify, issues for consideration in accordance with § 1.13 (d)(5) and (d)(6); (iii) To set the time and place of the informal hearing and to change any time periods prescribed in this subpart; (iv) To prescribe rules or issue rulings to avoid unnecessary costs or delay.",obligations,He shall have
§ 1.13   ,Rulemaking proceeding.,"Such rules or rulings may include, but are not limited to, the imposition of reasonable time limits on each person's oral presentation; and requirements that any examination; including cross-examination, which a person may be entitled to conduct or have conducted be conducted by the presiding officer on behalf of that person in such a manner as the presiding officer determines to be appropriate and to be required for a full and true disclosure with respect to any issue designated for consideration in accordance with § 1.13 (d)(5) and (d)(6); (v) To make rules and rulings limiting the representation of interested persons for the purpose of examination, including cross-examination, and governing the manner in which such examination is limited, including the selection of a representative from among a group of persons with the same or similar interests; (vi) To require that oral presentations at the informal hearing or responses to written questions be under oath; (vii) To require that oral presentations at the informal hearing be submitted in writing in advance of presentation; (viii) To certify questions to the Commission for its determination; and (ix) To rule upon all motions or petitions of interested persons, which motions or petitions must be filed with the presiding officer until the close of the postrecord comment period.",permissions,rulings may include
§ 1.13   ,Rulemaking proceeding.,"Within five (5) days after a ruling by the presiding officer, any interested person may petition the presiding officer for certification of that ruling to the Commission.",permissions,person may petition
§ 1.13   ,Rulemaking proceeding.,Certification of a ruling shall not stay the rulemaking proceeding unless the presiding officer or the Commission shall so order.,prohibitions,ruling shall not stay
§ 1.13   ,Rulemaking proceeding.,"Within ten (10) days after publication of the final notice, any interested person may petition the Commission for addition, modification or deletion of a designated issue, accompanied by a filing not to exceed fifteen (15) pages.",permissions,person may petition
§ 1.13   ,Rulemaking proceeding.,A petition hereunder shall not stay the rulemaking proceeding unless the presiding officer or the Commission shall so order.,prohibitions,hereunder shall not stay
§ 1.13   ,Rulemaking proceeding.,"Except as required for the disposition of ex parte matters as authorized by law, no presiding officer shall consult any person or party with respect to any fact in issue unless such officer gives notice and opportunity for all parties to participate.",obligations,officer shall consult
§ 1.13   ,Rulemaking proceeding.,Not later than twenty (20) days after publication of the final notice each interested person who desires to avail himself of the procedures of paragraphs (d)(5) and (d)(6) of this section shall notify the presiding officer in writing of his particular interest with respect to each issue designated for consideration in accordance with those subsections.,obligations,section shall notify
§ 1.13   ,Rulemaking proceeding.,"In the event that new issues are designated, each interested person shall promptly notify the presiding officer of his particular interest with respect to each such issue.",obligations,person shall promptly notify
§ 1.13   ,Rulemaking proceeding.,"The presiding officer may conduct any examination, including cross-examination, to which a person may be entitled.",permissions,officer may conduct
§ 1.13   ,Rulemaking proceeding.,For that purpose he may require submission of written requests for presentation of questions to any person making oral presentations and shall determine whether to ask such questions or any other questions.,permissions,he may require
§ 1.13   ,Rulemaking proceeding.,"The presiding officer shall conduct or allow to be conducted examination, including cross-examination of oral presentations and the presentation of rebuttal submissions relevant to the issues designated for consideration in accordance with paragraphs (d)(5) and (d)(6) of this section.",obligations,officer shall conduct
§ 1.13   ,Rulemaking proceeding.,"After consideration of the information supplied in response to the final notice, the presiding officer shall identify groups of persons with the same or similar interests in the proceeding.",obligations,officer shall identify
§ 1.13   ,Rulemaking proceeding.,If a group is unable to select a representative then the presiding officer may select a representative of each such group.,permissions,officer may select
§ 1.13   ,Rulemaking proceeding.,"During the course of the rulemaking proceeding, the presiding officer shall entertain requests from the Commission's staff or any interested person to compel the attendance of persons or the production of documents or to obtain responses to written questions.",obligations,officer shall entertain
§ 1.13   ,Rulemaking proceeding.,"Requests to compel the attendance of persons or the production of documents or to obtain responses to written questions shall contain a statement showing the general relevancy of the material, information or presentation, and the reasonableness of the scope of the request, together with a showing that such material, information or presentation is not available by voluntary methods and cannot be obtained through examination, including cross-examination, of oral presentations or the presentation of rebuttal submissions, and is appropriate and required for a full and true disclosure with respect to the issues designated for consideration in accordance with paragraphs (d)(5) and (d)(6) of this section.",obligations,questions shall contain
§ 1.13   ,Rulemaking proceeding.,"If the presiding officer determines that a request should be granted, he shall transmit his determination to the Commission which shall determine whether to issue a civil investigative demand under § 2.7(b).",obligations,which shall determine
§ 1.13   ,Rulemaking proceeding.,The staff shall make recommendations to the Commission in a report on the rulemaking record.,obligations,staff shall make
§ 1.13   ,Rulemaking proceeding.,Such report shall contain its analysis of the record and its recommendations as to the form of the final rule.,obligations,report shall contain
§ 1.13   ,Rulemaking proceeding.,"After publication of the staff report, the presiding officer shall make a recommended decision based upon his or her findings and conclusions as to all relevant and material evidence, and taking into account the staff report.",obligations,officer shall make
§ 1.13   ,Rulemaking proceeding.,"The Commission shall review the rulemaking record to determine what form of rule, if any, it should promulgate.",obligations,it should promulgate
§ 1.14   ,Promulgation.,"Where it believes that it should have further information or additional views of interested persons, it may withhold final action pending the receipt of such additional information or views.",permissions,it may withhold
§ 1.14   ,Promulgation.,"If it determines not to issue a rule, it may adopt and publish an explanation for not doing so.",permissions,it may adopt
§ 1.14   ,Promulgation.,"If the Commission determines to promulgate a rule, it shall adopt a Statement of Basis and Purpose to accompany the rule which shall include: (i)",obligations,which shall include
§ 1.14   ,Promulgation.,"A statement as to the prevalence of the acts or practices treated by the rule; (ii) A statement as to the manner and context in which such acts or practices are unfair or deceptive; (iii) A statement as to the economic effect of the rule, taking into account the effect on small businesses and consumers; (iv) a statement as to the effect of the rule on state and local laws; and (v) A statement of the manner in which the public may obtain copies of the final regulatory analysis.",permissions,public may obtain
§ 1.14   ,Promulgation.,"Except as otherwise provided by statute, if the Commission determines to promulgate a final rule, it shall issue a final regulatory analysis relating to the final rule.",obligations,it shall issue
§ 1.14   ,Promulgation.,"Each final regulatory analysis shall contain: (i) A concise statement of the need for, and the objectives of, the final rule; (ii) A description of any alternatives to the final rule which were considered by the Commission; (iii) An analysis of the projected benefits and any adverse economic effects and any other effects of the final rule; (iv) An explanation of the reasons for the determination of the Commission that the final rule will attain its objectives in a manner consistent with applicable law and the reasons the particular alternative was chosen; (v) A summary of any significant issues raised by the comments submitted during the public comment period in response to the preliminary regulatory analysis, and a summary of the assessment by the Commission of such issues; and (vi) The information required by the Regulatory Flexibility Act, 5 U.S.C. 601-612, and the Paperwork Reduction Act, 44 U.S.C. 3501-3520, if applicable.",obligations,analysis shall contain
§ 1.18   ,Rulemaking record.,The provisions of this subsection shall not apply to any communication to the extent such communication is required for the disposition of ex parte matters as authorized by law.,prohibitions,subsection shall not apply
§ 1.20   ,Alternative procedures.,"If the Commission determines at the commencement of a rulemaking proceeding to employ procedures other than those established in the remainder of this subpart, it may do so by announcing those procedures in the Federal Register notice commencing the rulemaking proceeding.",permissions,it may do
§ 1.22   ,Rulemaking.,"Rules may cover all applications of a particular statutory provision and may be nationwide in effect, or they may be limited to particular areas or industries or to particular product or geographic markets, as may be appropriate.",permissions,Rules may cover
§ 1.26   ,Procedure.,"In connection with any rulemaking proceeding, the Commission at any time may conduct such investigations, make such studies, and hold such conferences as it may deem necessary.",permissions,it may deem
§ 1.26   ,Procedure.,"At the hearing interested persons may appear and express their views as to the proposed rule and may suggest such amendments, revisions, and additions thereto as they may consider desirable and appropriate.",permissions,they may consider
§ 1.26   ,Procedure.,The presiding officer may impose reasonable limitations upon the length of time allotted to any person.,permissions,officer may impose
§ 1.26   ,Procedure.,"If by reason of the limitations imposed the person cannot complete the presentation of his suggestions, he may within twenty-four (24) hours file a written statement covering those relevant matters which he did not orally present.",dispensations,person cannot complete
§ 1.26   ,Procedure.,"On or before the thirtieth (30th) day after the date of publication of an order in the Federal Register pursuant to paragraph (f) of this section, any person who will be adversely affected by the order if placed in effect may file objections thereto with the Secretary of the Commission, specifying with particularity the provisions of the order deemed objectionable, stating the grounds therefor, and requesting a public hearing upon such objections.",permissions,effect may file
§ 1.42   ,Notice to Commission.,"On the first day of January of each year thereafter, each association must file a like statement and, when required by the Commission to do so, must furnish to the Commission detailed information as to its organization, business, conduct, practices, management, and relation to other associations, corporations, partnerships, and individuals.",obligations,association must file
§ 1.43   ,Recommendations.,"Whenever the Commission has reason to believe that an association has violated the prohibitions of section 2 of the Act, it may conduct an investigation.",permissions,it may conduct
§ 1.43   ,Recommendations.,"If, after investigation, it concludes that the law has been violated, it may make to such association recommendations for the readjustment of its business.",permissions,it may make
§ 1.71   ,Administration.,"Any interested person may obtain copies of the Act and these procedures and rules of practice upon request to the Secretary of the Commission, Washington, DC 20580.",permissions,person may obtain
§ 1.72   ,"Examination, counseling and staff advice.",Such interpretations represent informal staff opinion which is advisory in nature and is not binding upon the Commission as to any action it may take in the matter.,permissions,it may take
§ 1.73   ,Interpretations.,Failure to comply with such interpretations may result in corrective action by the Commission under applicable statutory provisions.,permissions,interpretations may result
§ 1.73   ,Interpretations.,(2) The issuance of such interpretations is within the discretion of the Commission and the Commission at any time may conduct such investigations and hold such conferences or hearings as it may deem appropriate.,permissions,it may deem
§ 1.73   ,Interpretations.,"Interpretations issued pursuant to this subpart may cover all applications of a particular statutory provision, or they may be limited in application to a particular industry, as appropriate.",permissions,subpart may cover
§ 1.82   ,Declaration of policy.,"All relevant environmental documents, comments, and responses as provided in this subpart shall accompany such proposal through all review processes.",obligations,subpart shall accompany
§ 1.83   ,Whether to commence the process for an environmental impact statement.,"(b) If the Bureau determines that the proposal is one which requires an environmental impact statement, it shall commence the “scoping process” CEQ Regulation (40 CFR 1501.7) except that the impact statement which is part of a proposal for legislation need not go through a scoping process but shall conform to CEQ Regulation (40 CFR 1506.8).",obligations,it shall commence
§ 1.84   ,Draft environmental impact statements: Availability and comment.,The decision on whether or not to prepare an environmental impact statement should occur at point (a)(2)(i) of this section.,obligations,statement should occur
§ 1.84   ,Draft environmental impact statements: Availability and comment.,The publication of any draft impact statement should occur at point (a)(2)(ii) of this section.,obligations,statement should occur
§ 1.84   ,Draft environmental impact statements: Availability and comment.,The publication of the final environmental impact statement should occur at point (a)(2)(iv) of this section.,obligations,statement should occur
§ 1.84   ,Draft environmental impact statements: Availability and comment.,The Commission may in its discretion grant such longer period as the complexity of the issues may warrant.,permissions,issues may warrant
§ 1.93   ,Notice of proposed penalty.,"The notification, to be filed in accordance with § 4.2 of this chapter, may include any factual or legal reasons for which the proposed assessment order should not issue, should be reduced in amount, or should otherwise be modified.",prohibitions,order should not issue
§ 1.97   ,Amount of penalty.,"The gravity of the violation, including the amount of harm to consumers and the public caused by the violation; and (g) Such other matters as justice may require.",permissions,justice may require
§ 1.121   ,Notification of intent to collect.,"The Commission's notice of intent to collect by tax refund offset will state: (1) The amount of the debt; (2) That unless the debt is repaid within 60 days from the date of the notice, the Commission intends to collect the debt by requesting a reduction of any amounts payable to the debtor as a Federal tax refund payment by an amount equal to the amount of the debt and all accumulated interest and other charges; (3) That the debtor, within 60 days from the date of the notice, has an opportunity to make a written agreement to repay the amount of the debt, unless such opportunity has previously been provided; (4) A mailing address for forwarding any written correspondence and a contact name and a telephone number for any questions; and (5) That the debtor may present evidence to the Commission that all or part of the debt is not past due or legally enforceable by: (i) Sending a written request for a review of the evidence to the address provided in the notice; (ii) Stating in the request the amount disputed and the reasons why the debtor believes that the debt is not past due or is not legally enforceable; and (iii) Including in the request any documents that the debtor wishes to be considered or stating that the additional information will be submitted within the remainder of the 60-day period.",permissions,debtor may present
§ 1.121   ,Notification of intent to collect.,"(c) A debtor may dispute the existence or amount of the debt or the terms of repayment, except with respect to debts established by a judicial or administrative order.",permissions,debtor may dispute
§ 1.121   ,Notification of intent to collect.,"In those cases, the debtor may not dispute matters or issues already settled, litigated, or otherwise established by such order, including the amount of the debt or the debtor's liability for that debt, except to the extent that the debtor alleges that the amount of the debt does not reflect payments already made to repay the debt in whole or part.",dispensations,debtor may not dispute
§ 1.130   ,Policy on employee indemnification.,"(d) When an employee of the Federal Trade Commission becomes aware that an action may be or has been filed against the employee in his or her individual capacity as a result of conduct taken within the scope of his or her employment, the employee shall immediately notify his or her supervisor that such an action is pending or threatened.",obligations,employee shall immediately notify
§ 1.130   ,Policy on employee indemnification.,"(2) The employee shall submit a written request, with documentation including copies of the verdict, judgment, award, or settlement proposal, as appropriate, to the head of his or her division or office, who thereupon shall submit to the General Counsel, in a timely manner, a recommended disposition of the request.",obligations,employee shall submit
§ 2.1   ,How initiated.,"If no Commissioner objects within three days following the Commission's receipt of such notification, the Secretary shall inform the Bureau Director that he or she may proceed.",permissions,she may proceed
§ 2.2   ,Complaint or request for Commission action.,The person making the complaint or request is not regarded as a party to any proceeding that might result from the investigation.,permissions,that might result
§ 2.6   ,Notification of purpose.,"While investigations are generally nonpublic, Commission staff may disclose the existence of an investigation to potential witnesses or other third parties to the extent necessary to advance the investigation.",permissions,staff may disclose
§ 2.7   ,Compulsory process in investigations.,"(3) CIDs for written reports or answers to questions shall propound with sufficient definiteness and certainty the reports to be produced or the questions to be answered, prescribe a return date, and identify the Commission's custodian to whom such reports or answers to questions shall be submitted.",obligations,questions shall propound
§ 2.7   ,Compulsory process in investigations.,"(4) CIDs for the giving of oral testimony shall prescribe a date, time, and place at which oral testimony shall commence, and identify the hearing official and the Commission custodian.",obligations,testimony shall commence
§ 2.7   ,Compulsory process in investigations.,A subpoena may require the attendance of the witness or the production of documentary material at any place in the United States.,permissions,subpoena may require
§ 2.7   ,Compulsory process in investigations.,"For investigational hearings conducted pursuant to a CID for the giving of oral testimony, the hearing official shall exclude from the hearing room all persons other than the person being examined, counsel for the person being examined, Commission staff, and any stenographer or other person recording such testimony.",obligations,official shall exclude
§ 2.7   ,Compulsory process in investigations.,"The deposition shall take place upon notice to the subjects of the investigation, and the examination and cross-examination may proceed as they would at trial.",permissions,examination may proceed
§ 2.7   ,Compulsory process in investigations.,"Where Commission compulsory process requires oral testimony from an entity, the compulsory process shall describe with reasonable particularity the matters for examination and the entity must designate one or more officers, directors, or managing agents, or designate other persons who consent, to testify on its behalf.",obligations,entity must designate
§ 2.7   ,Compulsory process in investigations.,"Unless a single individual is designated by the entity, the entity must designate in advance and in writing the matters on which each designee will testify.",obligations,entity must designate
§ 2.7   ,Compulsory process in investigations.,"Unless excused in writing or granted an extension of no more than 30 days by a Commission official identified in paragraph (l) of this section, a recipient of Commission compulsory process shall meet and confer with Commission staff within 14 days after receipt of process or before the deadline for filing a petition to quash, whichever is first, to discuss compliance and to address and attempt to resolve all issues, including issues relating to protected status and the form and manner in which claims of protected status will be asserted.",obligations,process shall meet
§ 2.7   ,Compulsory process in investigations.,The recipient must make available personnel with the knowledge necessary for resolution of the issues relevant to compliance with compulsory process.,obligations,recipient must make
§ 2.7   ,Compulsory process in investigations.,"Such personnel could include individuals knowledgeable about the recipient's information or records management systems, individuals knowledgeable about other relevant materials such as organizational charts, and persons knowledgeable about samples of material required to be produced.",permissions,personnel could include
§ 2.7   ,Compulsory process in investigations.,"If any issues relate to ESI, the recipient shall have a person familiar with its ESI systems and methods of retrieval participate in the meeting.",obligations,recipient shall have
§ 2.9   ,Rights of witnesses in investigations.,"If the transcript is not signed by the witness within 30 days of having been afforded a reasonable opportunity to review it, the hearing official shall sign the transcript and state on the hearing record the fact of the waiver, illness, absence of the witness, or the refusal to sign, together with any reasons given for the failure to sign, as prescribed by section 20(c)(14)(E)(ii) of the Federal Trade Commission Act.",obligations,official shall sign
§ 2.9   ,Rights of witnesses in investigations.,"In depositions or investigational hearings conducted pursuant to section 9 of the Federal Trade Commission Act, counsel may not consult with the witness while a question directed to a witness is pending, except with respect to issues involving protected status.",dispensations,counsel may not consult
§ 2.9   ,Rights of witnesses in investigations.,Neither the witness nor counsel shall otherwise object or refuse to answer any question.,obligations,counsel shall otherwise object
§ 2.9   ,Rights of witnesses in investigations.,"Following an objection, the examination shall proceed and the testimony shall be taken, except for testimony requiring the witness to divulge information protected by the claim of protected status.",obligations,examination shall proceed
§ 2.9   ,Rights of witnesses in investigations.,Counsel may instruct a witness not to answer only when necessary to preserve a claim of protected status.,permissions,Counsel may instruct
§ 2.9   ,Rights of witnesses in investigations.,(3) The hearing official may elect to recess the deposition or investigational hearing and reconvene the deposition or hearing at a later date to continue a course of inquiry interrupted by any objection made under paragraph (b)(1) or (2) of this section.,permissions,official may elect
§ 2.9   ,Rights of witnesses in investigations.,"The hearing official shall provide written notice of the date of the reconvened deposition or hearing to the witness, which may be in the form of an email or facsimile.",obligations,official shall provide
§ 2.9   ,Rights of witnesses in investigations.,Failure to reappear or to file a petition to limit or quash in accordance with § 2.10 of this part shall constitute noncompliance with Commission compulsory process for the purposes of a Commission enforcement action under § 2.13 of this part.,obligations,part shall constitute
§ 2.9   ,Rights of witnesses in investigations.,"(5) The hearing official shall conduct the deposition or investigational hearing in a manner that avoids unnecessary delay, and prevents and restrains disorderly or obstructionist conduct.",obligations,official shall conduct
§ 2.9   ,Rights of witnesses in investigations.,The Commission may take any action as circumstances may warrant under § 4.1(e) of this chapter.,permissions,circumstances may warrant
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,"Such petition shall set forth all assertions of protected status or other factual and legal objections to the Commission compulsory process, including all appropriate arguments, affidavits, and other supporting documentation.",obligations,petition shall set
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,"Such petition shall not exceed 5,000 words, including all headings, footnotes, and quotations, but excluding the cover, table of contents, table of authorities, glossaries, copies of the compulsory process order or excerpts thereof, appendices containing only sections of statutes or regulations, the statement required by paragraph (a)(2) of this section, and affidavits and other supporting documentation.",prohibitions,petition shall not exceed
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,"The statement shall recite the date, time, and place of each conference between counsel, and the names of all parties participating in each such conference.",obligations,statement shall recite
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,Failure to include the required statement may result in a denial of the petition.,permissions,statement may result
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,"Commission staff may, without serving the petitioner, provide the Commission a statement that shall set forth any factual and legal response to the petition to limit or quash.",obligations,that shall set
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,The timely filing of a petition to limit or quash any Commission compulsory process shall stay the remaining amount of time permitted for compliance as to the portion or portions of the challenged specifications or provisions.,obligations,process shall stay
§ 2.10   ,Petitions to limit or quash Commission compulsory process.,"All petitions to limit or quash Commission compulsory process and all Commission orders in response to those petitions shall become part of the public records of the Commission, except for information granted confidential treatment under § 4.9(c) of this chapter.",obligations,petitions shall become
§ 2.11   ,Withholding requested material.,"The claim of protected status shall include a detailed log of the items withheld, which shall be attested by the lead attorney or attorney responsible for supervising the review of the material and who made the determination to assert the claim.",obligations,status shall include
§ 2.11   ,Withholding requested material.,The failure to provide information sufficient to support a claim of protected status may result in a denial of the claim.,permissions,status may result
§ 2.11   ,Withholding requested material.,(b) A person withholding responsive material solely for the reasons described in paragraph (a) of this section shall meet and confer with Commission staff pursuant to § 2.7(k) of this part to discuss and attempt to resolve any issues associated with the manner and form in which privilege or protection claims will be asserted.,obligations,section shall meet
§ 2.11   ,Withholding requested material.,The participants in the meet and confer session may agree to modify the logging requirements set forth in paragraph (a) of this section.,permissions,session may agree
§ 2.11   ,Withholding requested material.,The disclosure of material protected by the attorney-client privilege or as work product shall not operate as a waiver if: (A) The disclosure is inadvertent; (B) The holder of the privilege or protection took reasonable steps to prevent disclosure; and (C),prohibitions,product shall not operate
§ 2.11   ,Withholding requested material.,"(ii) After being so notified, Commission staff must: (A) Promptly return or destroy the specified material and any copies, not use or disclose the material until any dispute as to the validity of the claim is resolved; and take reasonable measures to retrieve the material from all persons to whom it was disclosed before being notified; or (B) Sequester such material until such time as an Administrative Law Judge or court may rule on the merits of the claim of privilege or protection in a proceeding or action resulting from the investigation.",permissions,court may rule
§ 2.11   ,Withholding requested material.,"(iii) The producing party must preserve the material until the claim of privilege or protection is resolved, the investigation is closed, or any enforcement proceeding is concluded.",obligations,party must preserve
§ 2.13   ,Noncompliance with compulsory processes.,The Commission may also take any action as the circumstances may warrant under § 4.1(e) of this chapter.,permissions,circumstances may warrant
§ 2.15   ,Orders requiring witnesses to testify or provide other information and granting immunity.,The appeal shall not operate to suspend the hearing unless otherwise determined by the person conducting the hearing or ordered by the Commission.,prohibitions,appeal shall not operate
§ 2.16   ,Custodians.,The custodian shall have the powers and duties prescribed by section 21 of the FTC Act.,obligations,custodian shall have
§ 2.16   ,Custodians.,Deputy custodians may perform all of the duties assigned to custodians.,permissions,custodians may perform
§ 2.17   ,Statutory delays of notifications and prohibitions of disclosure.,"Upon authorization by the Commissioner who issues compulsory process pursuant to § 2.7(a) or, alternatively, upon authorization by the General Counsel, Commission attorneys may seek to delay notifications or prohibit disclosures pursuant to the Right to Financial Privacy Act (12 U.S.C. 3409), the Electronic Communications Privacy Act (18 U.S.C. 2705), or section 7 of the U.S. SAFE WEB Act (15 U.S.C. 57b-2a).",permissions,attorneys may seek
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,The request shall identify the name and telephone number of at least one such representative.,obligations,request shall identify
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,"At the conference, the authorized representative shall discuss the competitive issues raised by the proposed transaction, to the extent then known, and confer with the recipient about the most effective way to obtain information and documents relating to the competitive issues raised.",obligations,representative shall discuss
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,"The authorized representative shall modify the request for additional information or documentary material, or recommend such modification to the responsible Assistant Director of the Bureau of Competition, if he or she determines that a less burdensome request would be consistent with the needs of the investigation.",obligations,representative shall modify
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,"If the recipient of a request for additional information or documentary material believes that compliance with portions of the request should not be required and the recipient has exhausted reasonable efforts to obtain clarifications or modifications of the request from an authorized representative, the recipient may petition the General Counsel to consider and rule on unresolved issues.",permissions,recipient may petition
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,"(iii) Such conference shall take place within 7 business days after the General Counsel receives the petition, unless the request recipient agrees to a later date or declines to attend a conference.",obligations,conference shall take
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,"(v) The petitioner's memorandum shall include a concise statement of reasons why the request should be modified, together with proposed modifications, or a concise explanation why the recipient believes it has substantially complied with the request for additional information or documentary material.",obligations,memorandum shall include
§ 2.20   ,Petitions for review of requests for additional information or documentary material.,(vi) The authorized representative's memorandum shall include a concise statement of reasons why the petitioner's proposed modifications are inappropriate or a concise statement of the reasons why the representative believes that the petitioner has not substantially complied with the request for additional information and documentary material.,obligations,memorandum shall include
§ 2.32   ,Agreement.,"Every agreement in settlement of a Commission complaint shall contain, in addition to an appropriate proposed order, either an admission of the proposed findings of fact and conclusions of law submitted simultaneously by the Commission's staff or an admission of all jurisdictional facts and an express waiver of the requirement that the Commission's decision contain a statement of findings of fact and conclusions of law.",obligations,complaint shall contain
§ 2.32   ,Agreement.,"In addition, where appropriate, every agreement in settlement of a Commission complaint challenging the lawfulness of a proposed merger or acquisition shall also contain a hold-separate or asset-maintenance order.",obligations,acquisition shall also contain
§ 2.32   ,Agreement.,The agreement may state that the signing thereof is for settlement purposes only and does not constitute an admission by any party that the law has been violated as alleged in the complaint.,permissions,agreement may state
§ 2.32   ,Agreement.,"Every agreement shall provide that: (a) The complaint may be used in construing the terms of the order; (b) No agreement, understanding, representation, or interpretation not contained in the order or the aforementioned agreement may be used to vary or to contradict the terms of the order; (c)",obligations,agreement shall provide
